id,brand,year,engine_size,value
id_11042,bmw,2016,3500,24350
id_1420,vw,2014,3600,15500
id_64357,ford,2012,2200,5950
id_79541,kia,2011,1200,4600
id_45687,bmw,2014,1800,13950
id_80677,ford,2011,1400,1550
id_63366,vw,2008,2300,2750
id_74095,ford,2012,2200,200
id_65714,kia,2010,1000,1750
id_82521,vw,2017,2300,14200
id_66339,ford,2017,2000,10250
id_95453,vw,2012,1200,6850
id_85739,kia,2011,1200,4350
id_62252,vw,2011,1200,6450
id_52008,kia,2016,1100,6450
id_67573,vw,2009,1900,1800
id_89052,ford,2012,2500,5050
id_22689,vw,2009,1200,750
id_30186,vw,2017,1700,11600
id_88526,ford,2013,1400,5000
id_62264,ford,2009,1100,200
id_38866,bmw,2013,4000,19950
id_22277,bmw,2017,1800,20650
id_21606,kia,2016,800,4800
id_65282,bmw,2012,2300,9350
id_94135,vw,2015,1500,8950
id_67483,kia,2012,1000,3000
id_11174,ferrari,2015,5700,91000
id_84788,kia,2011,1400,4600
id_59443,ford,2010,1800,500
id_58761,vw,2009,2300,3650
id_99201,ford,2013,1400,2450
id_21316,vw,2015,3600,14950
id_32252,vw,2011,1900,7550
id_47457,kia,2014,1400,6150
id_75266,ford,2010,1400,2450
id_59241,ford,2014,1400,6150
id_77409,vw,2013,2300,8800
id_41100,ford,2016,3000,13550
id_72465,bmw,2009,3500,9050
id_57973,ford,2016,2000,9350
id_45962,vw,2011,1200,3650
id_49114,bmw,2015,1800,12200
id_16078,ford,2017,2500,12150
id_13907,ford,2015,1100,6750
id_57609,ford,2011,1800,3050
id_76812,ford,2017,3000,15450
id_41491,bmw,2014,4000,15800
id_55339,ford,2010,3000,1600
id_35224,kia,2017,1200,8600
id_71384,vw,2008,3600,7500
id_68381,ford,2014,1600,4200
id_26697,vw,2012,1700,2950
id_60976,ford,2015,1400,5200
id_96347,vw,2013,1500,6200
id_23402,ford,2013,1600,4400
id_32702,vw,2014,1900,7500
id_78287,ford,2015,1800,5250
id_6256,kia,2011,800,1350
id_31154,ford,2015,2000,2300
id_69227,kia,2009,1100,2050
id_70196,kia,2017,1000,7900
id_66229,kia,2013,800,2600
id_31561,ford,2009,1100,200
id_94223,bmw,2015,4000,21650
id_23466,ford,2014,2500,4350
id_39317,vw,2008,2300,7250
id_82916,bmw,2009,2500,9000
id_44676,vw,2014,1700,9450
id_45609,ford,2014,1800,3850
id_90756,bmw,2008,3000,8150
id_79547,ford,2012,1800,3350
id_68181,ford,2010,1400,250
id_68104,ford,2010,1600,250
id_263,bmw,2014,1800,14200
id_48649,ford,2011,2200,3600
id_48661,ford,2015,1400,4100
id_86095,ford,2014,3000,9300
id_20551,vw,2016,1200,8700
id_7227,ford,2015,1800,7600
id_54614,ford,2017,2000,12050
id_92913,ford,2015,1600,4250
id_38575,ford,2015,1800,7050
id_31232,bmw,2013,2300,14550
id_23768,bmw,2008,3000,5400
id_74300,bmw,2017,4500,29600
id_6884,bmw,2012,3000,12350
id_40322,vw,2011,1700,7450
id_20752,ford,2010,2000,3950
id_63880,ford,2013,1100,3550
id_14913,vw,2013,2300,9400
id_32946,bmw,2014,3500,19600
id_79075,vw,2013,2300,8400
id_172,ford,2012,3000,3850
id_59038,vw,2012,1700,5450
id_2599,vw,2016,3600,20800
id_26342,kia,2010,1000,1500
id_94524,ford,2016,1100,6200
id_20896,ford,2011,1100,3850
id_47450,kia,2012,1400,3950
id_87742,vw,2016,2300,13250
id_81496,kia,2015,1000,5550
id_91112,ford,2013,1600,3500
id_74368,ford,2010,2000,2950
id_74370,vw,2008,1700,3550
id_13554,ford,2012,1100,3700
id_59250,kia,2015,1200,6850
id_29015,kia,2017,1100,5500
id_95242,ford,2008,1100,150
id_15651,bmw,2015,1800,17900
id_97750,ford,2014,1800,6300
id_42704,vw,2016,1500,11800
id_57991,kia,2015,800,4200
id_97955,kia,2008,1200,150
id_30923,vw,2008,2300,5650
id_68486,vw,2011,2300,6250
id_18750,ford,2010,2000,750
id_47044,bmw,2008,4000,5200
id_15085,ford,2015,2200,7600
id_47672,ford,2014,2000,6200
id_93178,vw,2015,1700,12300
id_46591,bmw,2016,4000,23400
id_11573,vw,2011,3600,10250
id_86075,vw,2017,1500,9550
id_75330,ford,2012,3000,4350
id_74079,ford,2017,2500,12900
id_20099,bmw,2015,3500,27000
id_77709,vw,2008,1700,4700
id_85267,bmw,2012,4500,15400
id_63386,ferrari,2008,4500,25250
id_63437,kia,2014,1200,4950
id_34826,vw,2017,1900,13500
id_7610,bmw,2015,2300,18350
id_18805,vw,2011,1200,4850
id_69593,ford,2017,2000,11050
id_89794,bmw,2009,4500,14200
id_67360,bmw,2017,1800,18350
id_64639,ford,2017,2000,10200
